message,label
"You're doing great! Keep it up!",0
"I hate you so much you idiot",1
"This is awesome! Love it!",0
"You're such a loser and dumb",1
"Great work everyone!",0
"Shut up you moron",1
"Thank you for your help",0
"Go kill yourself",1
"Nice to meet you!",0
"You're worthless trash",1
"Have a wonderful day!",0
"Stupid idiot get lost",1
"This is really helpful",0
"I hope you die",1
"Excellent presentation!",0
"You're a complete failure",1
"Keep up the good work",0
"Nobody likes you",1
"Thanks for sharing",0
"You're disgusting",1
"Great idea! Let's do it",0
"Get out of here loser",1
"I appreciate your effort",0
"You're pathetic",1
"Well done team!",0
"Shut your mouth idiot",1
"Looking forward to it",0
"You suck at everything",1
"That's very kind of you",0
"Go away you fool",1
"Awesome job today!",0
"You're so annoying",1
"Thanks for the update",0
"I hate your guts",1
"Great collaboration!",0
"You're a joke",1
"Happy to help!",0
"Shut up dumbass",1
"Nice work on the project",0
"Nobody wants you here",1
"I'm grateful for your support",0
"You're a waste of space",1
"Fantastic effort!",0
"Go to hell",1
"Much appreciated!",0
"You're ugly and stupid",1
"Keep going strong!",0
"I hope bad things happen to you",1
"Thanks for being patient",0
"You're an idiot and everyone knows it",1
"Great teamwork!",0
"Just shut up already",1
"I value your input",0
"You're worthless",1
"Wonderful to see you",0
"Get lost moron",1
"Thanks for the feedback",0
"I can't stand you",1
"Excellent point!",0
"You're a complete waste",1
"Looking great!",0
"Nobody cares about you",1
"Thanks for everything",0
"You're pathetic and weak",1
"Amazing progress!",0
"Shut your stupid face",1
"I appreciate you",0
"You're disgusting trash",1
"Well thought out!",0
"I hope you fail",1
"Great communication!",0
"You're such a loser",1
"Thank you kindly",0
"Go die in a hole",1
"Brilliant idea!",0
"You're so dumb",1
"Thanks a lot!",0
"I hate everything about you",1
"Keep it up!",0
"You're a terrible person",1
"Much obliged!",0
"Get out you idiot",1
"Great to hear from you",0
"You're absolutely worthless",1
"Thanks for caring",0
"Shut up and leave",1
"Awesome work!",0
"You're a piece of garbage",1
"I'm happy to assist",0
"I hope you suffer",1
"Excellent job!",0
"You're so annoying and stupid",1
"Thanks for your time",0
"Nobody likes your stupid face",1
"Great discussion!",0
"You're pathetic trash",1
